participant,list_number,date,expName,psychopyVersion,OS,frameRate,fbclid,info_sheet_loop.thisRepN,info_sheet_loop.thisTrialN,info_sheet_loop.thisN,info_sheet_loop.thisIndex,info_sheet_loop.ran,consent_key.keys,consent_key.rt,consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,consent_item,ageResp.text,genderResp1.response,genderResp1.rt,genderResp2.text,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,edu_slider.response,q1_slider.response,q2_slider.response,q3_slider.response,q4_slider.response,q5_slider.response,next_slide_key.keys,next_slide_key.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,slide_text,instruction,triangle_pos,arrow_posy,arrow_posx,spacebar_continue.keys,spacebar_continue.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,scale,label,item_type,item_no,sentence,question,correct_option,granularity,file_path,spacebar_continue_2.keys,spacebar_continue_2.rt,slider_2.response,slider_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,item_no2,sentence2,question2,correct_option2,granularity2,file_path2,spacebar_continue_3.keys,spacebar_continue_3.rt,textbox.text,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,total_duration
30,map_generator/lists/list4.csv,2023-04-15_18h31.07.611,3rd_year_project,2022.2.4,Win32,59.81576744,IwAR1qeKfgffkqqlNOlQQvXJEfjPvfKDlteGUnMKh09nlpKqW5RpochfZ0YDU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,map_generator/lists/list4.csv,2023-04-15_18h31.07.611,3rd_year_project,2022.2.4,Win32,59.81576744,IwAR1qeKfgffkqqlNOlQQvXJEfjPvfKDlteGUnMKh09nlpKqW5RpochfZ0YDU,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,map_generator/lists/list4.csv,2023-04-15_18h31.07.611,3rd_year_project,2022.2.4,Win32,59.81576744,IwAR1qeKfgffkqqlNOlQQvXJEfjPvfKDlteGUnMKh09nlpKqW5RpochfZ0YDU,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,map_generator/lists/list4.csv,2023-04-15_18h31.07.611,3rd_year_project,2022.2.4,Win32,59.81576744,IwAR1qeKfgffkqqlNOlQQvXJEfjPvfKDlteGUnMKh09nlpKqW5RpochfZ0YDU,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,map_generator/lists/list4.csv,2023-04-15_18h31.07.611,3rd_year_project,2022.2.4,Win32,59.81576744,IwAR1qeKfgffkqqlNOlQQvXJEfjPvfKDlteGUnMKh09nlpKqW5RpochfZ0YDU,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,map_generator/lists/list4.csv,2023-04-15_18h31.07.611,3rd_year_project,2022.2.4,Win32,59.81576744,IwAR1qeKfgffkqqlNOlQQvXJEfjPvfKDlteGUnMKh09nlpKqW5RpochfZ0YDU,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,map_generator/lists/list4.csv,2023-04-15_18h31.07.611,3rd_year_project,2022.2.4,Win32,59.81576744,IwAR1qeKfgffkqqlNOlQQvXJEfjPvfKDlteGUnMKh09nlpKqW5RpochfZ0YDU,,,,,,y,3.6086,0,0,0,0,1,"1 of 6
I confirm that I have read the attached information sheet (Version A7.0; Date 22/02/2023) for the above study and have had the opportunity to consider the information and ask questions and had these answered satisfactorily.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,map_generator/lists/list4.csv,2023-04-15_18h31.07.611,3rd_year_project,2022.2.4,Win32,59.81576744,IwAR1qeKfgffkqqlNOlQQvXJEfjPvfKDlteGUnMKh09nlpKqW5RpochfZ0YDU,,,,,,y,0.6233,0,1,1,1,1,"2 of 6
I understand that my participation in the study is voluntary and that I am free to withdraw at any time without giving a reason and without detriment to myself. I understand that it will not be possible to remove my data from the project once it has been anonymised and forms part of the data set.  

I agree to take part on this basis.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,map_generator/lists/list4.csv,2023-04-15_18h31.07.611,3rd_year_project,2022.2.4,Win32,59.81576744,IwAR1qeKfgffkqqlNOlQQvXJEfjPvfKDlteGUnMKh09nlpKqW5RpochfZ0YDU,,,,,,y,0.6013,0,2,2,2,1,"3 of 6
I agree that any data collected may be included in anonymous form in student theses/publications/conference presentations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,map_generator/lists/list4.csv,2023-04-15_18h31.07.611,3rd_year_project,2022.2.4,Win32,59.81576744,IwAR1qeKfgffkqqlNOlQQvXJEfjPvfKDlteGUnMKh09nlpKqW5RpochfZ0YDU,,,,,,y,0.5335,0,3,3,3,1,"4 of 6
I understand that a fully anonymised dataset will be deposited in public open data repositories.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
